gene	genetic_priority_level	twas_proxy_level	reporting_group	claim_strength_level	curated_exemplar_flag	biological_role_label	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	known_kidney_transport_or_calcium_gene	allowed_claim	disallowed_claim	overclaim_risk	decision_rule_applied	decision_notes
SYT14	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	189	0.00010146	0.00929566857142857	no	NA_not_found	NA_not_found	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TBCCD1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	73	4.9137e-07	0.000116555656438356	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TBX2	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	1	6.2728e-15	7.25730876e-11	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		0.000206200535848264	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TFAP2B	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	8	6.8295e-13	1.34145128e-09	yes	KSD_L051	rs62405422	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TIMM8B	G4_no_MAGMA_support	T2_one_snp_Kidney_Cortex_proxy	R5_TWAS_proxy_only	claim_3_contextual_or_supplementary	no	not_curated_exemplar	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	0.0253953651138083	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	supplementary Kidney_Cortex proxy TWAS signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_5_twas_proxy_only	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TMBIM1	G3_MAGMA_suggestive_or_module	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	410	0.0013633	0.057470627184466	no	NA_not_found	NA_not_found	0.0295940769417183	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TMC4	G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	584	0.0035741	0.105974513013699	no	NA_not_found	NA_not_found	0.0485692005624065	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TMEM170A	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	76	7.387e-07	0.000168306963157895	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TNXB	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	87	1.6356e-06	0.0003255408	yes	NA_not_found	NA_not_found	0.0253953651138083	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TRIOBP	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	38	1.2991e-08	5.91979357894737e-06	yes	KSD_L037	rs6000890	0.000500433504717289	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
TRPV6	G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	504	0.0024792	0.0851782285714286	no	NA_not_found	NA_not_found	0.0322515790633361	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	yes	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
UGT8	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	9	6.9722e-13	1.34145128e-09	yes	KSD_L040;KSD_L041;KSD_L042;KSD_L043		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
UMOD	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	TAL identity / uromodulin biology	current_curated_exemplar;MAGMA;coloc_resource_row	21	1.7321e-10	1.42824017142857e-07	yes	KSD_L018	rs77924615	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.
UQCC5	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	63	1.5603e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
USP40	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	320	0.00073754	0.03991013325	no	NA_not_found	NA_not_found	0.00360202088408115	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
VPS13B	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	79	9.8176e-07	0.000215191850126582	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
WDR72	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	86	1.5509e-06	0.000312271911627907	yes	KSD_L015	rs2459379	0.674606958200653	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
YAF2	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	42	2.6309e-08	1.08468248571429e-05	yes	KSD_L011	rs7974476	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ZCRB1	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	56	1.0601e-07	3.27798064285714e-05	yes	NA_not_found	NA_not_found	4.04292012350524e-07	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ZFPM1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	27	1.0439e-09	6.69487866666667e-07	yes	KSD_L022	rs4782366	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ZNF468	G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	1934	0.039837	0.356471683884298	no	NA_not_found	NA_not_found	0.00606139258919571	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ZNF512	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	20	1.2108e-10	1.04831064e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
